Recipient,Amount
MULTIPLE_RECIPIENTS,3374324633.00
MULTIPLE_RECIPIENTS,3320977524.00
MULTIPLE_RECIPIENTS,3264755975.00
MULTIPLE_RECIPIENTS,3157080502.00
MULTIPLE_RECIPIENTS,3156736841.00
MULTIPLE_RECIPIENTS,3153320107.00
MULTIPLE_RECIPIENTS,3147631122.00
MULTIPLE_RECIPIENTS,2935173083.00
Health_Care_Finance_Admin_Bureau_of_TennCare,2165696000.00
Health_Care_Finance_Admin_Bureau_of_TennCare,1823373000.00
Health_Care_Finance_Admin_Bureau_of_TennCare,1694814000.00
MULTIPLE_RECIPIENTS,723735802.00
MULTIPLE_RECIPIENTS,477954360.00
MULTIPLE_RECIPIENTS,471588477.00
MULTIPLE_RECIPIENTS,465794368.00
MULTIPLE_RECIPIENTS,243695400.00
MULTIPLE_RECIPIENTS,205930300.00
MULTIPLE_RECIPIENTS,153377100.00
MULTIPLE_RECIPIENTS,123970384.00
MULTIPLE_RECIPIENTS,119359172.00
MULTIPLE_RECIPIENTS,113341321.00
MULTIPLE_RECIPIENTS,108562320.00
MULTIPLE_RECIPIENTS,107389305.00
MULTIPLE_RECIPIENTS,105681675.00
MULTIPLE_RECIPIENTS,103637887.00
MULTIPLE_RECIPIENTS,102438900.00
MULTIPLE_RECIPIENTS,102092830.00
MULTIPLE_RECIPIENTS,100079600.00
MULTIPLE_RECIPIENTS,93403707.00
TN_DEPT_OF_EDUCATION,88596196.00
MULTIPLE_RECIPIENTS,87833605.00
MULTIPLE_RECIPIENTS,86052288.00
MULTIPLE_RECIPIENTS,85784333.00
MULTIPLE_RECIPIENTS,85618804.00
MULTIPLE_RECIPIENTS,85260706.00
MULTIPLE_RECIPIENTS,85215338.00
MULTIPLE_RECIPIENTS,85184616.00
MULTIPLE_RECIPIENTS,85063799.00
MULTIPLE_RECIPIENTS,84939691.00
MULTIPLE_RECIPIENTS,84317855.00
TN_DEPT_OF_EDUCATION,84013634.00
MULTIPLE_RECIPIENTS,83781819.00
MULTIPLE_RECIPIENTS,83480999.00
MULTIPLE_RECIPIENTS,82504704.00
TN_DEPT_OF_EDUCATION,77287607.00
MULTIPLE_RECIPIENTS,76852839.00
MULTIPLE_RECIPIENTS,76341000.00
MULTIPLE_RECIPIENTS,76276700.00
MULTIPLE_RECIPIENTS,76079951.00
MULTIPLE_RECIPIENTS,75729158.00
MULTIPLE_RECIPIENTS,75700866.00
MULTIPLE_RECIPIENTS,75430127.00
MULTIPLE_RECIPIENTS,75222319.00
MULTIPLE_RECIPIENTS,74975442.00
TN_DEPT_OF_EDUCATION,74408428.00
MULTIPLE_RECIPIENTS,74330604.00
MULTIPLE_RECIPIENTS,74295422.00
MULTIPLE_RECIPIENTS,73797959.00
MULTIPLE_RECIPIENTS,73612560.00
MULTIPLE_RECIPIENTS,73376379.00
MULTIPLE_RECIPIENTS,73311393.00
MULTIPLE_RECIPIENTS,73169247.00
MULTIPLE_RECIPIENTS,72951278.00
MULTIPLE_RECIPIENTS,72738826.00
MULTIPLE_RECIPIENTS,72540975.00
MULTIPLE_RECIPIENTS,72538674.00
MULTIPLE_RECIPIENTS,71946859.00
MULTIPLE_RECIPIENTS,71384038.00
MULTIPLE_RECIPIENTS,71183396.00
MULTIPLE_RECIPIENTS,70644489.00
MULTIPLE_RECIPIENTS,70024447.00
MULTIPLE_RECIPIENTS,69839422.00
MULTIPLE_RECIPIENTS,69324114.00
MULTIPLE_RECIPIENTS,68181666.00
MULTIPLE_RECIPIENTS,67709041.00
MULTIPLE_RECIPIENTS,67446256.00
MULTIPLE_RECIPIENTS,67083640.00
MULTIPLE_RECIPIENTS,65313633.00
MULTIPLE_RECIPIENTS,63950491.00
MULTIPLE_RECIPIENTS,63851997.00
MULTIPLE_RECIPIENTS,63709898.00
MULTIPLE_RECIPIENTS,63471337.00
MULTIPLE_RECIPIENTS,63395194.00
MULTIPLE_RECIPIENTS,63386332.00
MULTIPLE_RECIPIENTS,62891010.00
MULTIPLE_RECIPIENTS,62332632.00
MULTIPLE_RECIPIENTS,62262799.00
MULTIPLE_RECIPIENTS,61834961.00
MULTIPLE_RECIPIENTS,61173237.00
MULTIPLE_RECIPIENTS,60994471.00
MULTIPLE_RECIPIENTS,60359200.00
MULTIPLE_RECIPIENTS,59678991.00
